"행정구역별(1)","특성별(1)",특성별(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
"행정구역별(1)","특성별(1)",특성별(2),계 (%),인구 1인당 평균독서권수 (권),독서함 (%),독서인구 1인당 평균독서권수 (권),- 잡지류 (%),· 평균 독서 권수 (권),- 교양 서적 (%),· 평균 독서 권수 (권),- 직업과 관련한 서적류 (%),· 평균 독서 권수 (권),- 생활취미 정보 서적 (%),· 평균 독서 권수 (권),- 기타 (%),· 평균 독서 권수 (권)
"전국","전체",계,100.0,12.8,61.8,20.8,47.9,7.5,70.6,10.3,37.0,7.6,29.1,5.2,21.8,25.4
"전국","동·읍면부",동부,100.0,13.6,64.8,21.0,48.0,7.5,70.9,10.4,37.7,7.7,29.6,5.2,22.2,24.9
"전국","동·읍면부",읍면부,100.0,9.3,47.8,19.5,47.4,7.4,69.1,9.7,33.2,7.4,26.2,5.1,19.3,28.4
"전국","성별",남자,100.0,14.4,60.9,23.6,42.9,8.7,66.1,10.5,45.7,7.8,26.7,5.3,27.2,29.2
"전국","성별",여자,100.0,11.3,62.6,18.1,52.7,6.5,74.9,10.2,28.8,7.3,31.4,5.2,16.8,19.5
"전국","연령",13∼19세,100.0,22.2,80.1,27.7,35.6,6.7,78.0,13.0,19.7,5.9,19.4,6.2,51.0,25.2
"전국","연령",15∼19세,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","연령",20∼29세,100.0,18.8,76.9,24.5,54.6,7.2,71.9,10.0,49.8,8.4,31.5,5.0,30.4,24.9
"전국","연령",30∼39세,100.0,16.6,75.8,21.9,48.7,7.4,67.4,10.1,46.3,6.9,40.1,5.3,21.0,29.3
"전국","연령",40∼49세,100.0,13.0,68.0,19.2,50.1,8.2,70.2,10.6,39.2,8.0,28.1,5.4,12.8,23.4
"전국","연령",50∼59세,100.0,7.7,51.9,14.7,51.7,7.3,66.4,8.7,33.1,7.9,26.0,4.5,7.1,19.7
"전국","연령",60세 이상,100.0,3.0,26.6,11.2,39.6,7.6,72.4,8.5,12.8,8.6,17.4,4.2,3.0,8.6
"전국","연령",65세 이상,100.0,2.3,21.4,10.8,34.4,7.4,74.9,9.0,10.2,6.1,14.6,4.3,3.1,9.0
"전국","교육정도",초졸이하,100.0,7.2,29.4,24.5,35.3,7.1,70.7,13.9,12.8,5.9,17.1,6.5,40.2,25.7
"전국","교육정도",중 졸,100.0,9.3,50.8,18.3,40.5,5.9,69.8,9.4,18.0,5.8,18.9,4.9,30.4,24.4
"전국","교육정도",고 졸,100.0,11.1,62.5,17.7,49.8,6.7,67.6,9.1,30.2,6.1,26.9,4.6,19.2,26.8
"전국","교육정도",대졸이상,100.0,19.3,83.1,23.2,50.7,8.5,73.4,10.8,52.3,8.6,35.9,5.5,18.4,24.3
"전국","혼인상태",미? 혼,100.0,20.2,76.9,26.2,46.1,7.3,75.1,11.6,38.9,7.7,24.5,5.4,38.1,25.7
"전국","혼인상태",배우자 있음,100.0,10.8,59.7,18.0,49.5,7.7,67.7,9.6,37.4,7.6,32.7,5.1,12.8,25.0
"전국","혼인상태",사? 별,100.0,2.2,21.2,10.4,33.0,5.7,75.5,8.5,10.7,6.6,17.4,5.3,3.7,12.4
"전국","혼인상태",이? 혼,100.0,6.9,49.4,13.9,51.7,6.3,67.5,9.0,27.2,6.4,25.2,4.3,9.7,18.7
"전국","경제활동상태",취? 업,100.0,13.1,63.5,20.6,49.7,7.8,67.5,9.8,48.6,7.8,29.5,5.0,18.2,26.1
"전국","경제활동상태",실업 및 비경제활동,100.0,12.5,59.6,21.0,45.6,7.0,74.8,10.9,21.7,7.1,28.6,5.5,26.6,24.7
"전국","산업",농림어업,100.0,2.7,25.2,10.7,49.4,6.6,55.2,6.3,29.4,5.7,17.1,3.2,9.0,19.1
"전국","산업",광업·제조업,100.0,12.6,61.4,20.6,45.5,7.9,63.2,8.5,46.0,6.2,28.2,4.3,21.5,35.2
"전국","산업",사회간접자본?기타서비스업,100.0,14.4,68.4,21.0,50.6,7.9,69.0,10.2,50.0,8.2,30.4,5.2,17.9,23.8
"전국","직업",전문관리,100.0,21.9,85.2,25.7,50.3,9.0,74.6,11.4,65.4,10.3,33.4,5.7,17.4,22.8
"전국","직업",사? 무,100.0,16.3,81.7,20.0,51.0,7.8,70.0,9.4,57.0,6.3,32.2,4.7,19.3,22.4
"전국","직업",서비스판매,100.0,12.2,63.7,19.2,52.8,7.3,65.8,9.5,37.4,6.5,27.7,5.4,18.4,28.1
"전국","직업",농어업,100.0,2.5,24.8,9.9,50.0,6.2,54.4,6.2,28.0,5.4,16.7,3.2,8.1,16.9
"전국","직업",기능노무,100.0,8.2,47.3,17.3,44.7,7.1,58.9,8.5,32.0,5.4,25.6,4.3,19.5,32.3
"전국","종사상지위",임금근로자,100.0,14.7,68.7,21.4,49.3,7.7,69.0,9.7,51.3,7.7,30.7,4.9,20.1,26.9
"전국","종사상지위",고용주,100.0,15.0,70.0,21.4,53.6,10.1,63.7,10.7,54.3,9.0,30.3,5.9,12.7,20.0
"전국","종사상지위",자영자,100.0,8.7,48.6,18.0,48.0,7.8,61.7,10.5,38.8,7.6,24.3,6.0,13.4,25.0
"전국","주관적 만족감",만족,100.0,17.9,76.9,23.3,49.7,8.0,75.7,10.8,41.4,8.7,32.2,5.4,22.8,25.4
"전국","주관적 만족감",보통,100.0,11.7,60.7,19.3,47.3,7.2,68.7,10.2,35.4,7.2,27.8,5.2,20.9,23.4
"전국","주관적 만족감",불만족,100.0,10.3,50.2,20.5,46.7,7.2,67.9,9.9,34.6,6.8,27.8,4.9,22.7,29.2
"전국","가구소득",50만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","가구소득",50~100만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","가구소득",100만원 미만,100.0,5.1,30.4,16.9,40.1,6.2,69.1,9.6,22.7,6.7,23.3,4.8,19.2,26.9
"전국","가구소득",100∼200만원 미만,100.0,10.6,51.7,20.6,47.1,7.1,67.4,10.4,31.7,7.5,25.9,4.9,23.5,27.9
"전국","가구소득",200∼300만원 미만,100.0,12.7,65.9,19.3,45.2,6.4,67.8,10.0,34.9,6.5,29.0,4.9,21.8,27.3
"전국","가구소득",300∼400만원 미만,100.0,14.5,72.2,20.1,49.7,7.0,70.1,9.9,38.9,6.9,30.2,5.0,22.9,24.1
"전국","가구소득",400~500만원 미만,100.0,16.3,77.3,21.1,49.1,8.0,73.2,10.5,42.7,8.1,31.1,5.9,20.5,20.5
"전국","가구소득",500∼600만원 미만,100.0,18.6,80.1,23.2,51.7,8.9,74.7,11.5,44.0,7.6,31.3,6.0,21.0,22.6
"전국","가구소득",600만원 이상,100.0,22.6,84.3,26.8,54.8,10.2,80.1,11.0,47.2,10.9,33.7,5.6,21.3,25.2
"전국","연령*성별",15~19세*남자,-,-,-,-,-,-,-,-,-,-,-,-,-,-
