,5,6,7,8,9,10,11,12
소분류,13∼19세,15∼19세,20∼29세,30∼39세,40∼49세,50∼59세,60세 이상,65세 이상
계 (%),100.0,-,100.0,100.0,100.0,100.0,100.0,100.0
인구 1인당 평균독서권수 (권),20.0,-,17.2,14.5,11.7,6.2,2.7,2.2
독서함 (%),80.9,-,79.8,75.8,69.5,52.4,28.9,24.0
독서인구 1인당 평균독서권수 (권),24.7,-,21.6,19.2,16.8,11.7,9.5,9.1
잡지류,32.6,-,47.5,44.7,44.4,45.4,36.1,33.3
잡지평균권수,6.7,-,7.0,6.1,6.7,6.7,6.1,6.3
교양서적,75.2,-,72.5,63.5,68.6,65.7,70.8,74.0
교양서적평균권수,13.9,-,8.6,8.3,9.8,7.4,7.3,7.0
직업서적,17.5,-,45.0,43.4,37.9,28.0,12.2,8.8
직업서적평균권수,7.4,-,7.3,7.2,7.6,7.1,7.5,7.4
생활취미서적,16.8,-,28.2,37.7,24.1,19.8,15.4,13.7
생활취미서적평균권수,6.9,-,5.4,5.7,4.8,4.2,5.2,5.6
기타서적,45.7,-,27.2,21.2,11.0,6.3,2.7,2.5
기타서적평균권수,21.2,-,26.5,27.8,27.6,16.1,13.6,15.3
