"통계분류(1)",통계분류(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"통계분류(1)",통계분류(2),사례수,바빠서 이용할 시간없다,이용할 필요성 느끼지 못한다,집에서 멀다,학교도서관 이용한다,도서 대여점을 이용,읽을 만한 책이 없다,이용 절차가 까다롭다,개관 시간이 짧다,유익한 프로그램 없다,독서상담 안내자 없음,읽고 싶은 책은 사서 읽는다,기타
"전체",소계,3591,33.5,44.2,6.9,1.9,0.5,1.4,0.8,0.7,1.2,0.4,7.8,0.8
"성별",남자,1817,38.5,40.6,6.1,1.8,0.4,1.4,0.6,0.8,1.1,0.6,7.5,0.7
"성별",여자,1774,28.3,47.8,7.7,2,0.7,1.3,1,0.7,1.2,0.3,8.1,0.9
"연령별",18~29세,453,38.9,25.5,9.4,10.1,0.7,2.7,0.2,0.9,1.2,0.5,9.7,0.2
"연령별",30대,578,45,26,7.8,1,1.7,1.9,1.2,1.2,2.3,0.6,10.9,0.5
"연령별",40대,703,43.1,32.3,7.2,0.9,0.4,1.3,1.2,1,1.8,0.8,9.6,0.5
"연령별",50대,833,35.9,42.5,7.4,1,0.2,1.2,0.5,0.7,0.7,0.3,9,0.6
"연령별",60대 이상,1025,15.9,72.2,4.6,0.2,0.1,0.7,0.8,0.2,0.5,0.1,2.9,1.7
"학력별",중졸 이하,844,14.9,75.1,4,0,0.1,0.6,0.9,0.2,0.2,0.1,2,2
"학력별",고졸,1485,36.1,44,7.5,0.7,0.5,0.9,0.6,0.4,1.3,0.4,6.9,0.6
"학력별",대재이상,1263,42.8,23.7,8,4.6,0.8,2.4,1,1.4,1.7,0.7,12.7,0.3
"연간독서량",없음,1657,27.4,58.6,5,0.6,0.1,1.1,0.5,0.6,1,0.3,3.8,1.1
"연간독서량",1~5권,716,42,28,8.5,2.3,1.2,1.3,1.6,1.4,1.4,0.4,11.4,0.5
"연간독서량",6~10권,680,36.8,36.3,9,2.6,0.7,1.4,0.9,0.4,1.4,0.4,9.3,0.7
"연간독서량",11~15권,314,35.5,30.3,7.6,7.6,0.3,3.2,0.6,0.6,1.8,0.4,11.1,1
"연간독서량",16~20권,79,42.1,26.3,12.6,0,1.4,0,0,0.6,0,0,17,0
"연간독서량",21권 이상,146,36.3,36.8,5.5,0.6,0.7,1.4,0.6,0.6,0,2.1,15.3,0
