"통계분류(1)",통계분류(2),2013,2013,2013,2013,2013,2013,2013
"통계분류(1)",통계분류(2),사례수,독서캠페인,독후활동,독서행사,독서교육,독서치료,기타 활동
"전체",소계,77,10.3,36.4,45,18.9,1,8.2
"성별",남자,26,7.9,31.4,45.4,15.7,0,7.4
"성별",여자,51,11.5,38.9,44.8,20.5,1.6,8.6
"연령",19~29세,17,5.8,47.3,41.1,17.8,0,0
"연령",30~39세,22,12.7,25.6,51.4,17.6,0,18.6
"연령",40~49세,24,17.2,23,61.4,12.3,0,9.5
"연령",50~59세,10,0,53.8,10.1,27.9,8.1,0
"연령",60세 이상,4,0,87.2,12.8,48.8,0,0
"학력",중졸이하,2,0,100,0,82.7,0,0
"학력",고졸/고퇴,17,12,42.6,34.6,17,4.6,13.2
"학력",대재이상,57,10.2,31.9,50,16.9,0,7
"연간 독서량",1~5권,13,0,21.5,23.1,31.2,6.2,18
"연간 독서량",6~10권,14,14.7,31.3,54.9,5.5,0,28.4
"연간 독서량",11~15권,15,6.5,53,38.3,15.7,0,0
"연간 독서량",16~20권,5,0,30.2,69.8,0,0,0
"연간 독서량",21권 이상,30,16.2,37.5,49.3,24.5,0,0
