"통계분류(1)",통계분류(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"통계분류(1)",통계분류(2),사례수,바빠서 이용할 시간없다,이용할 필요성 느끼지 못한다,집에서 멀다,학교도서관 이용한다,도서 대여점을 이용,읽을 만한 책이 없다,이용 절차가 까다롭다,개관 시간이 짧다,유익한 프로그램 없다,독서상담 안내자 없음,기타
"전체",소계,1393,47.5,33.1,10.1,1.6,0.8,2.3,1.3,1.1,0.8,0.4,0.9
"성별",남자,712,52.4,30.6,8.8,1.5,0.7,1.9,1.1,1.5,0.7,0.2,0.6
"성별",여자,681,42.5,35.7,11.4,1.8,1,2.8,1.4,0.6,1,0.5,1.3
"연령별",18~29세,186,42.1,24,16.7,6.2,0.6,2.3,2.4,3.5,2.1,0,0
"연령별",30대,231,61.5,18.4,10.6,0.6,2.1,2.1,0.8,0.6,0.9,0.3,2.2
"연령별",40대,280,57.4,26.5,8,3.2,0.8,1.5,0.1,0.7,1.3,0.4,0
"연령별",50대,320,53.3,28.9,9.5,0.2,0.1,3.9,1.7,1,0.4,0.8,0.2
"연령별",60대 이상,376,29.4,55,8.6,0,0.7,1.8,1.5,0.4,0.3,0.2,2
"학력별",중졸 이하,280,27.6,57.6,7.9,0,0.4,2.7,1.3,0,0.2,0.3,2
"학력별",고졸,594,52.2,32.1,7,1.1,0.5,2.8,0.6,1.4,0.9,0.6,0.8
"학력별",대재이상,520,52.9,21,14.8,3.1,1.5,1.6,2,1.3,1.1,0.1,0.6
"연간독서량",없음,553,38.9,49.5,6.1,0.1,0,1.9,1.1,0,1,0,1.3
"연간독서량",1~5권,357,51.8,23.9,11.1,1.3,0.9,3.7,1.6,2.1,1.1,1.2,1.1
"연간독서량",6~10권,315,56.8,18.6,12.4,3.9,1.4,2.5,1.2,1.9,0.6,0,0.6
"연간독서량",11~15권,71,51.6,27.8,11.5,4,2.9,0.9,0,1.4,0,0,0
"연간독서량",16~20권,27,59.4,22.7,9.7,0,6.4,1.8,0,0,0,0,0
"연간독서량",21권 이상,69,43.7,24.2,24.6,3.5,0,0,2.8,0,0,1.2,0
