"통계분류(1)",통계분류(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"통계분류(1)",통계분류(2),사례수,문학,철학사상종교,정치사회시사,경제 경영,역사 지리,예술문화,과학 기술,가정육아요리,어학컴퓨터,취미오락여행건강,제테크부동산,자기계발서,장르소설
"전체",소계,510,18.4,8.2,7.2,4,3.8,2.7,3.6,2.5,4.3,8.3,3.8,5.2,27.8
"성별",남자,287,15.1,8.5,8.6,4.9,3.9,2,4.6,1.2,4.2,8.5,4.7,4.9,28.6
"성별",여자,223,22.7,7.9,5.5,2.8,3.6,3.5,2.3,4.1,4.5,8,2.6,5.7,26.8
"연령별",19~29세,253,18.7,10.2,6.2,3.8,3.2,2.6,4.2,1.1,4.5,7.4,2.2,6,29.8
"연령별",30대,132,18.3,6.9,7,4,4.3,2.6,2.8,3.3,5.2,8.7,4.1,4,28.8
"연령별",40대,79,16.5,3.3,7.8,5.6,3.3,2.7,3.2,5.5,4.3,9.7,8.9,5.9,22.8
"연령별",50대,35,22.1,6.6,9.1,1.8,5,4.1,3.9,1.6,0,9.6,4.5,4.5,27
"연령별",60대 이상,11,13.1,16.6,24.3,4.9,9.8,0,0,5,3.6,11.3,1.6,0,8
"학력별",중졸 이하,4,19.4,0,10.2,15.3,0,0,0,15.7,0,10.5,4.8,0,24.2
"학력별",고졸고퇴,102,18.4,6.2,8.8,3.2,4.7,2.7,3.2,3.1,4.5,9.2,3.9,6.3,25
"학력별",대재이상,404,18.4,8.8,6.8,4.1,3.6,2.7,3.7,2.2,4.3,8.1,3.8,5,28.5
"연간독서량",없음,104,20.1,7,7.6,2.6,3,2.7,3.8,2,3.9,8.2,2.9,5.1,30.8
"연간독서량",1~5권,119,18.4,9.3,7.2,4.8,3.7,3.2,3.2,2.7,4.2,7.9,3.9,5.1,26.5
"연간독서량",6~10권,104,16.7,7.2,5.5,3.6,5.4,2,2.7,2.9,3.4,9.9,3.8,6.2,30.7
"연간독서량",11~15권,80,19.2,8.5,8.3,4.5,3.4,3.4,4.4,0.7,5.9,6.6,3.2,5.9,25.5
"연간독서량",16~20권,21,22.9,7.7,8.4,9,4.6,1,4.7,1.5,3.7,4.2,10.7,5.8,15.8
"연간독서량",21권 이상,81,16.3,9.3,7.7,3.4,2.9,2.5,3.9,4.2,4.8,9.8,3.8,3.7,27.7
