"통계분류(1)",통계분류(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
"통계분류(1)",통계분류(2),계,바빠서 이용할 시간없다,이용할 필요성 느끼지 못한다,집에서 멀다,학교도서관 이용한다,도서 대여점을 이용,읽을 만한 책이 없다,이용 절차가 까다롭다,개관 시간이 짧다,유익한 프로그램 없다,독서상담 안내자 없음
"전체",소계,100,38.5,40.7,11.7,2.4,0.8,2.6,0.5,1.4,0.7,0.8
"성별",남자,100,42.6,37.3,10.7,2.4,0.7,2.7,0.3,1.5,0.6,1.2
"성별",여자,100,34.6,43.9,12.7,2.4,0.8,2.4,0.7,1.3,0.8,0.5
"연령별",18~29세,100,37.4,25,14.3,12.3,1.6,4.5,1.5,2.1,1.3,0
"연령별",30대,100,49.7,32.3,12.3,0.9,1.2,1.7,0.2,1.3,0.2,0.2
"연령별",40대,100,44.6,37.3,10.5,0.4,0.5,2.2,0.2,2.4,1.3,0.6
"연령별",50대,100,38.6,45.5,8.6,0,1,1.7,0.8,1,0.7,2.2
"연령별",60대,100,24.6,57.2,13.3,0.5,0,3,0,0.2,0.2,0.9
"학력별",중졸 이하,100,22.9,58.5,10.7,1.1,0.2,3.8,0.5,0.9,0.6,0.9
"학력별",고졸,100,43,42,9.6,0.4,0.3,1.5,0.5,0.4,1.1,1.2
"학력별",대재이상,100,43.3,26.6,15.2,5.9,1.8,3.1,0.6,2.9,0.3,0.3
"직업",경영 관리직,100,48.7,33.1,4.2,0,0,0,0,9.7,0,4.3
"직업",사무직,100,50.4,25.7,16.8,1.7,1,1.7,0.2,2.2,0.3,0
"직업",서비스 판매직,100,51.9,33.8,8.9,0.8,0.6,2.1,0.2,1.2,0.5,0
"직업",생산직,100,32.3,51.1,10.2,0.4,1.2,1.7,0.6,0.9,0.6,1
"직업",자영업,100,51.6,35.5,7.5,0,0,3,0,0,1.8,0.6
"직업",전업주부,100,21.5,58.2,13.5,0,0.5,3.7,0.3,1.2,0.4,0.7
"직업",학생,100,18.9,17,15.7,31.5,3.7,5.1,3.7,3.3,1.1,0
"직업",은퇴무직기타,100,7.7,59.6,18.5,2.4,0,1.6,1.3,0,1.2,7.8
"가구소득",100만원 미만,0,12.5,65.8,15.1,0,1.2,4,0,0,1.4,0
"가구소득",100~200만원,100,22.2,55.8,14.7,0.5,0,3.1,0.8,0.5,0.4,1.9
"가구소득",200~300만원,100,42.6,41,8.6,2.2,0.8,3,0.3,0.6,0.6,0.3
"가구소득",300~400만원,100,44.5,31.5,13,3.9,1,2.1,0.4,1.9,0.7,1
"가구소득",400만원 이상,100,43.8,33.5,11.6,2.7,1.2,1.5,0.6,3.3,1.1,0.6
"부모님의 독서권장",권함,100,40.8,34.3,14.8,3.4,1.4,2.2,0,1.8,0.6,0.7
"부모님의 독서권장",보통,100,41,37.9,11.7,1.1,0.5,4.5,0.9,0.8,0.7,0.9
"부모님의 독서권장",권하지않음,100,32.6,53.5,6.7,1.9,0,1.2,0.9,1.3,0.9,0.9
"선생님의 독서권장",권함,100,39.5,36.4,14.4,3,1.1,1.9,0.6,1.5,0.6,1
"선생님의 독서권장",보통,100,43.4,37.3,10.2,1.4,0.6,4.5,0.5,1.2,0.9,0
"선생님의 독서권장",권하지않음,100,28,58.1,6.6,2.1,0,1.4,0.3,1.2,0.7,1.7
