"통계분류(1)",통계분류(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"통계분류(1)",통계분류(2),사례수,문학,철학사상종교,정치사회시사,경제 경영,역사 지리,예술문화,가정육아요리,취미오락여행건강,제테크부동산,자기계발서,장르소설,어학외국어,과학기술컴퓨터
"전체",소계,843,16.4,5.3,5.7,4.2,3.4,2.3,2.6,8,3.7,5.5,34.6,5.7,2.4
"성별",남자,473,15.1,5.4,7,5.1,3.5,1.5,1.2,7.4,4.1,5.7,33.7,6.9,3.4
"성별",여자,370,18.2,5.3,4,3,3.4,3.4,4.5,8.7,3.1,5.2,35.8,4.1,1.2
"연령별",19~29세,371,18.7,3.1,5,4.2,2.8,2.6,1.2,6.1,1.7,5.2,39.1,8,2.1
"연령별",30대,244,15.2,4.7,4.6,3.4,3.5,0.6,4.1,8.6,6.7,4.8,36.8,5,1.8
"연령별",40대,168,13.1,8.2,7.8,5.8,4,4.3,3.5,11.3,3.2,7.1,26.5,2.8,2.3
"연령별",50대,42,17,8.3,12.7,2.2,6.9,2.1,3.4,7,4.3,7.4,20.1,1.8,6.7
"연령별",60대 이상,19,16.2,32.6,0,5.3,2.7,1.7,0,8.3,6.3,0,14.2,0.8,11.9
"학력별",중졸 이하,14,7.7,52.2,2.8,7.5,5.2,0,0,6.8,4.4,0,11.9,1.5,0
"학력별",고졸고퇴,106,14.1,7.3,5.6,2.2,3.8,1.6,5,11.2,4,4.9,33.3,3.1,3.5
"학력별",대재이상,724,16.9,4.4,5.8,4.5,3.4,2.4,2.3,7.5,3.6,5.7,35.1,6.1,2.3
"소득별",100만원 이하,147,16.4,6.5,6.9,2.7,4.5,1.3,1,8.9,3.9,5.1,37.3,4.3,0.9
"연간독서량",1~5권,304,16.8,5.5,4.2,5.6,2.5,2.1,3.4,8.8,4,6,32.3,5.5,3.1
"연간독서량",6~10권,147,15.1,3.3,5.4,3.3,4.3,2.2,2.6,6.8,3.1,6.4,36.6,7.6,3.3
"연간독서량",11~15권,56,18.8,8.2,12.6,2.2,7.3,3.7,1.8,4.1,0.7,6.9,24.1,7.8,1.7
"연간독서량",16~20권,52,11.5,11.7,6.1,5.5,2.2,4.2,1.7,9.8,5.6,4.9,32,4.2,0.6
"연간독서량",21권 이상,137,18,2.3,5.2,4.2,2.3,2.6,3.2,7.4,3.6,3.5,39.8,5.1,2.8
