"통계분류(1)",통계분류(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"통계분류(1)",통계분류(2),사례수,문학,철학사상종교,정치사회시사,경제 경영,역사 지리,예술문화,과학 기술,가정육아요리,어학컴퓨터,취미오락여행건강,제테크부동산,자기계발서,장르소설
"전체",소계,278,21.3,4,4.2,4.8,2.4,4.3,3.1,3.6,5.1,7.4,3.5,7.5,28.8
"성별",남자,146,14.7,4.2,5.4,6.1,2,2.5,5.8,1.2,6.8,9.1,2.9,8.2,31
"성별",여자,132,28.6,3.7,2.8,3.3,2.8,6.2,0.1,6.3,3.3,5.6,4.3,6.8,26.4
"연령별",20대 이하,121,23.8,4,2.6,3.5,1.8,6.3,3.9,2.4,4.1,7.1,0.5,7,33.1
"연령별",30대,83,21.9,3.1,1.9,5.3,1.7,2.8,2.5,7.3,6.3,7.6,4.2,7.8,27.7
"연령별",40대,47,15.3,3.6,9.5,5.6,5.6,2.4,2.4,0.9,8.1,7.8,7.8,10,21.1
"연령별",50대,17,13,7.3,7.9,12,1.3,2.8,3.3,4.1,1.8,8,6.7,8.4,22.8
"연령별",60대 이상,10,28.8,6.6,10.3,0.8,1.6,2.9,1,0,0,7.2,10.5,0,30.2
"학력별",중졸 이하,1,50,0,0,0,6.7,0,0,0,0,0,0,0,36.7
"학력별",고졸고퇴,47,17.6,6.7,3.5,6.2,3.5,3.4,0,4.4,4.8,5.5,8.5,2,33.8
"학력별",대재이상,230,21.9,3.4,4.3,4.5,2.1,4.5,3.7,3.5,5.2,7.8,2.6,8.7,27.7
"연간독서량",없음,17,22.6,2.2,1.6,17.2,1.2,3.7,0,1.2,1.6,10,1.9,3.5,33.3
"연간독서량",1~5권,56,14.7,4.4,6.4,6.9,2.2,2.4,4,2.1,8.2,7.3,4.2,12.9,24.2
"연간독서량",6~10권,101,25.3,3.9,3.5,3.6,1.7,4.5,2.1,4.2,5.4,6.4,3.4,5,31
"연간독서량",11~15권,39,18.8,4.2,5.3,1.3,2.2,3.2,8.8,6.6,3.4,7.5,6.4,4.7,27.6
"연간독서량",16~20권,13,18.1,1.7,9.6,0.7,2.1,2.9,1.1,5,2.8,14,4.2,5.8,32
"연간독서량",21권 이상,52,23.2,4.6,1.7,4.2,4.5,7.2,1.2,2.4,4.2,7,1.4,10.5,28.1
